airport_id,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
4513,medium_airport,İncirlik Air Base,37.002102,35.4259,238,AS,TR,TR-01,Sarıçam,UAB
32494,small_airport,San Luis Río Colorado Airport,32.445301,-114.797997,50,NA,MX,MX-SON,San Luis Río Colorado,UAC
301736,small_airport,Mount Aue Airport,-6.234166667,144.6647222,4250,OC,PG,PG-JI,,UAE
32497,small_airport,Ua Huka Airport,-8.936228,-139.554062,160,OC,PF,PF-U-A,Ua Huka,UAH
26880,medium_airport,Suai Airport,-9.303310394,125.2870026,96,AS,TL,TL-CO,Suai,UAI
113,medium_airport,Narsarsuaq Airport,61.1605,-45.425999,112,NA,GL,GL-KU,Narsarsuaq,UAK
32498,small_airport,Luau Airport,-10.71580029,22.23110008,3609,AF,AO,AO-MOX,Luau,UAL
5432,medium_airport,Andersen Air Force Base,13.584,144.929998,627,OC,GU,GU-U-A,Yigo,UAM
32499,small_airport,Ua Pou Airport,-9.35167,-140.078003,16,OC,PF,PF-U-A,Ua Pou,UAP
5795,medium_airport,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,1958,SA,AR,AR-J,San Juan,UAQ
300605,medium_airport,Bouarfa Airport,32.51430556,-1.983055556,3630,AF,MA,MA-FIG,Bouarfa,UAR
32500,small_airport,Samburu Airport,0.534069,37.531991,3295,AF,KE,KE-700,Samburu,UAS
42236,small_airport,Uaxactun Airport,17.39388847,-89.63274384,573,NA,GT,GT-PE,Uaxactun,UAX
5995,medium_airport,Mário de Almeida Franco Airport,-19.76472282,-47.96611023,2655,SA,BR,BR-MG,Uberaba,UBA
32503,small_airport,Mabuiag Island Airport,-9.950168,142.19523,,OC,AU,AU-QLD,Mabuiag Island,UBB
301982,small_airport,Buin Airport,-6.729166667,155.6833333,230,OC,PG,PG-NSB,Buin,UBI
5555,medium_airport,Yamaguchi Ube Airport,33.93000031,131.279007,23,AS,JP,JP-35,Ube,UBJ
335326,large_airport,Ulaanbaatar Chinggis Khaan International Airport,47.646916,106.819833,4482,AS,MN,MN-047,Ulaanbaatar (Sergelen),UBN
26687,medium_airport,Ubon Ratchathani Airport,15.25129986,104.8700027,406,AS,TH,TH-34,Ubon Ratchathani,UBP
21282,small_airport,Columbus Lowndes County Airport,33.4654007,-88.38030243,188,NA,US,US-MS,Columbus,UBS
206,small_airport,Ubatuba Gastão Madeira State Airport,-23.440628,-45.074057,13,SA,BR,BR-SP,Ubatuba,UBT
27664,small_airport,Kalumburu Airport,-14.28784,126.633182,29,OC,AU,AU-WA,Kalumburu,UBU
327445,medium_airport,Ulanqab Jining Airport,41.130266,113.107274,,AS,CN,CN-15,Ulanqab,UCB
23322,small_airport,Yucca Airstrip,36.934661,-116.00596,3919,NA,US,US-NV,Mercury,UCC
18847,small_airport,Eunice Airport,30.46629906,-92.42379761,42,NA,US,US-LA,Eunice,UCE
28146,small_airport,Lutsk Airport,50.678404,25.487165,774,EU,UA,UA-07,Lutsk,UCK
31533,small_airport,Buchanan Airport,5.905503,-10.058262,41,AF,LR,LR-GB,Buchanan,UCN
32506,medium_airport,Ukhta Airport,63.56689835,53.80469894,482,EU,RU,RU-KO,Ukhta,UCT
21285,small_airport,Everett-Stewart Regional Airport,36.38180161,-88.98539734,336,NA,US,US-TN,Union City,UCY
32357,small_airport,Uchiza Airport,-8.467000008,-76.34999847,1965,SA,PE,PE-HUC,Uchiza,UCZ
28016,small_airport,Undara Airport,-18.20000076,144.6000061,,OC,AU,AU-QLD,,UDA
21286,small_airport,Bermuda Dunes Airport,33.748492,-116.275027,73,NA,US,US-CA,Bermuda Dunes,UDD
2528,medium_airport,Volkel Air Base,51.657222,5.707778,72,EU,NL,NL-NB,Uden,UDE
5993,medium_airport,Ten. Cel. Aviador César Bombonato Airport,-18.883579,-48.225936,3094,SA,BR,BR-MG,Uberlândia,UDI
6485,medium_airport,Uzhhorod International Airport,48.63430023,22.26339912,383,EU,UA,UA-21,Uzhhorod,UDJ
29434,small_airport,Udine-Campoformido Air Base,46.0322,13.1868,305,EU,IT,IT-36,Udine,UDN
26462,medium_airport,Maharana Pratap Airport,24.61770058,73.89610291,1684,AS,IN,IN-RJ,Udaipur,UDR
27907,small_airport,Queenstown Airport,-42.075001,145.531998,867,OC,AU,AU-TAS,,UEE
2982,medium_airport,Quelimane Airport,-17.85549927,36.86909866,36,AF,MZ,MZ-Q,Quelimane,UEL
44860,small_airport,Urengoy Airport,65.95999908,78.43699646,56,EU,RU,RU-YAN,Urengoy,UEN
5675,medium_airport,Kumejima Airport,26.363445,126.71384,23,AS,JP,JP-47,Kumejima,UEO
21288,small_airport,Waukesha County Airport,43.04100037,-88.23709869,911,NA,US,US-WI,Waukesha,UES
5272,medium_airport,Quetta International Airport,30.25139999,66.93779755,5267,AS,PK,PK-BA,Quetta,UET
26411,large_airport,Ufa International Airport,54.55749893,55.87440109,449,EU,RU,RU-BA,Ufa,UFA
29736,medium_airport,Bulgan Airport,48.85499954,103.4759979,4311,AS,MN,MN-067,Bulgan,UGA
